country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-19,-3.0,11.0,-20.0,-14.0,-3.0,3.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-20,-9.0,5.0,-23.0,-25.0,-22.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-21,-9.0,7.0,-24.0,-24.0,-23.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-22,-4.0,11.0,-16.0,-22.0,-22.0,7.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-23,-8.0,5.0,-20.0,-23.0,-22.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-24,1.0,20.0,-6.0,-24.0,-25.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-25,-10.0,8.0,-16.0,-24.0,-37.0,6.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-26,-6.0,9.0,-21.0,-18.0,-4.0,3.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-27,-5.0,12.0,-14.0,-26.0,-25.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-28,-7.0,10.0,-16.0,-25.0,-25.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-29,-6.0,11.0,-15.0,-25.0,-25.0,8.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-30,-2.0,18.0,-9.0,-22.0,-25.0,7.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2021-12-31,2.0,34.0,4.0,-20.0,-33.0,6.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-01,-18.0,1.0,-16.0,-29.0,-50.0,5.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-02,-7.0,15.0,-23.0,-16.0,-9.0,2.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-03,-7.0,18.0,-17.0,-23.0,-22.0,6.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-04,-8.0,16.0,-17.0,-22.0,-20.0,6.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-05,-9.0,11.0,-17.0,-21.0,-18.0,6.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-06,-10.0,10.0,-18.0,-23.0,-16.0,6.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-07,-7.0,11.0,-12.0,-24.0,-14.0,7.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-08,-6.0,17.0,-11.0,-17.0,-8.0,3.0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2022-01-09,-6.0,15.0,-17.0,-15.0,-3.0,4.0
