Nama Kecamatan,speed_kmh,length,delay
MATRAMAN,23,1682,143
JATINEGARA,20,1443,154
TEBET,20,1407,146
TANAH ABANG,20,1669,189
MENTENG,20,1604,139
CEMPAKA PUTIH,19,1105,113
GAMBIR,19,1820,199
GROGOL PETAMBURAN,18,1561,187
SENEN,18,1095,141
KELAPA GADING,18,1399,158
KRAMAT JATI,17,1894,240
MAKASAR,17,1607,220
KALI DERES,17,1305,150
CILANDAK,17,1366,176
KEBON JERUK,17,1355,173
KOJA,17,1292,154
CIPAYUNG,17,1251,143
PASAR REBO,17,1382,212
KEMAYORAN,16,1427,202
PASAR MINGGU,16,1759,301
DUREN SAWIT,16,1455,233
TANJUNG PRIOK,16,1333,194
SETIA BUDI,16,1199,203
SAWAH BESAR,16,908,144
JAGAKARSA,16,1525,217
KEMBANGAN,15,1182,205
JOHAR BARU,15,1072,109
PULO GADUNG,15,1022,137
TAMBORA,15,1207,165
TAMAN SARI,15,787,96
CIRACAS,15,1157,153
KEBAYORAN BARU,15,992,135
CENGKARENG,14,1284,194
PADEMANGAN,14,982,150
CAKUNG,14,1044,194
MAMPANG PRAPATAN,14,1145,214
CILINCING,14,1194,208
PESANGGRAHAN,13,1322,247
KEBAYORAN LAMA,13,748,144
PALMERAH,12,934,225
PENJARINGAN,9,791,300
PANCORAN,8,739,333
